City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tabou,CI,79.93,broken clouds,4.423,-7.3528,hotêl doufoulougou
2,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Kloulklubed,PW,82.27,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
11,Sao Filipe,CV,77.81,few clouds,14.8961,-24.4956,Hotel Xaguate
19,Bandarbeyla,SO,77.61,clear sky,9.4942,50.8122,JABIR HOTEL
22,Harper,LR,80.29,broken clouds,4.375,-7.7169,Screensaver
29,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
30,Hilo,US,81.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
34,Ukiah,US,80.04,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
43,Sao Joao Da Barra,BR,82.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
44,Venice,US,89.15,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
47,Bubaque,GW,81.9,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
49,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
51,Dunkwa,GH,75.88,light rain,5.9656,-1.78,Tim Freeman Gold City Hotel
53,Kavieng,PG,82.24,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
55,Atuona,PF,76.19,clear sky,-9.8,-139.0333,Villa Enata
58,Burkburnett,US,84.87,clear sky,34.0979,-98.5706,Best Western Red River Inn
62,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
70,Niquero,CU,85.19,overcast clouds,20.0431,-77.5828,Islazul Niquero
71,Mbini,GQ,77.11,light rain,1.574,9.6134,Candy Vista Mar Mbini
73,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
85,Manaus,BR,79.29,heavy intensity rain,-3.1019,-60.025,Manaus Hotéis Millennium
88,Safford,US,79.72,few clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
89,Ugoofaaru,MV,81.32,scattered clouds,5.6667,73.0,Ungoofaaru Inn
92,Alyangula,AU,80.71,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
94,Basoko,CD,76.91,light rain,1.2391,23.616,Jackyna Hotel
95,Cabo San Lucas,MX,83.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
106,Bengkulu,ID,75.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
107,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
112,Faanui,PF,78.73,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
116,Vryburg,ZA,80.31,broken clouds,-26.9566,24.7284,The Times Premier Lodge
118,Kita,ML,85.17,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
119,Labuan,MY,81.81,broken clouds,5.2767,115.2417,Tiara Labuan Hotel
121,Borba,BR,77.86,moderate rain,-4.3878,-59.5939,Hotel da Amazônia
122,Kattivakkam,IN,84.29,few clouds,13.2167,80.3167,Euronova Freezer
124,Mitsamiouli,KM,75.83,few clouds,-11.3847,43.2844,Foyer ADM
125,Jalu,LY,77.07,broken clouds,29.0331,21.5482,صاحبة الفخامة
126,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
131,Zaltan,LY,76.15,clear sky,32.946999999999996,11.8665,Fars Alfelale
133,Butaritari,KI,80.94,broken clouds,3.0707,172.7902,Isles Sunset Lodge
134,Belmonte,BR,79.86,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
140,Bosaso,SO,81.41,clear sky,11.2842,49.1816,Red Sea Hotel
144,Asyut,EG,83.41,clear sky,27.180999999999997,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
148,Gusau,NG,85.41,broken clouds,12.1628,6.6614,GUEST INN
149,Kulhudhuffushi,MV,81.21,broken clouds,6.6221,73.07,Haajy Guest House 1
156,Haimen,CN,75.97,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
162,San Patricio,US,89.69,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
163,Alofi,NU,77.56,clear sky,-19.0595,-169.9187,Taloa Heights
168,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
173,Dingle,PH,78.15,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
177,Ponta Do Sol,PT,76.01,broken clouds,32.6667,-17.1,Hotel do Campo
178,Sarangani,PH,84.25,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
179,Eyl,SO,78.73,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
180,Keti Bandar,PK,82.38,scattered clouds,24.1447,67.4497,Haji laloo memon house
183,Mahibadhoo,MV,80.37,overcast clouds,3.7833,72.9667,Omadhoo Inn
184,Savalou,BJ,79.41,overcast clouds,7.9281,1.9756,Hotel F&F
185,Gizo,SB,81.46,scattered clouds,-8.103,156.8419,Imagination Island
186,Semporna,MY,79.68,light rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
192,Boyolangu,ID,76.24,light rain,-8.1181,111.8935,Yos ega cv
194,Havelock,US,75.18,clear sky,34.8791,-76.9013,Sherwood Motel
195,Esna,EG,84.02,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
197,Kirakira,SB,79.57,scattered clouds,-10.4544,161.9205,SanBiz Lodge
198,Diffa,NE,89.65,broken clouds,13.3154,12.6113,ProDAF/Diffa
202,Kahului,US,78.82,moderate rain,20.8947,-156.47,Maui Seaside Hotel
208,Fare,PF,78.19,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
215,Iberia,US,84.06,clear sky,29.9502,-91.7507,back to back rv park
217,Sabak,MY,75.58,broken clouds,3.7675,100.9875,Alfatih Homestay
223,Malanville,BJ,88.79,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
224,Kutum,SD,83.17,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
231,Mayumba,GA,77.18,broken clouds,-3.432,10.6554,LIKWALE LODGE
