City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tabou,CI,4.423,-7.3528,79.93,75,74,10.0,broken clouds
1,Severo-Kurilsk,RU,50.6789,156.125,43.39,82,100,14.27,overcast clouds
2,Hithadhoo,MV,-0.6,73.0833,81.97,72,88,15.41,overcast clouds
3,Vanavara,RU,60.34,102.2797,27.19,85,89,4.81,overcast clouds
4,Kaitangata,NZ,-46.2817,169.8464,48.06,85,99,3.27,overcast clouds
5,Kloulklubed,PW,7.0419,134.2556,82.27,77,100,14.7,overcast clouds
6,Cape Town,ZA,-33.9258,18.4232,68.38,76,100,5.99,overcast clouds
7,Thompson,CA,55.7435,-97.8558,33.96,93,100,13.8,overcast clouds
8,Victor Harbor,AU,-35.5667,138.6167,49.68,92,24,2.8,few clouds
9,Skegness,GB,53.1436,0.3363,58.33,59,94,21.34,light rain
10,Carnarvon,AU,-24.8667,113.6333,65.37,74,0,15.68,clear sky
11,Sao Filipe,CV,14.8961,-24.4956,77.81,76,24,6.87,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,53.71,32,0,25.32,clear sky
13,Busselton,AU,-33.65,115.3333,48.15,86,94,7.65,overcast clouds
14,La Grande,US,45.3246,-118.0877,63.66,32,22,2.84,few clouds
15,Vao,NC,-22.6667,167.4833,67.91,62,2,8.12,clear sky
16,Ushuaia,AR,-54.8,-68.3,49.66,40,0,25.32,clear sky
17,Rikitea,PF,-23.1203,-134.9692,73.09,81,17,15.73,light rain
18,San Quintin,MX,30.4833,-115.95,65.7,63,96,2.64,overcast clouds
19,Bandarbeyla,SO,9.4942,50.8122,77.61,87,4,9.22,clear sky
20,Bluff,NZ,-46.6,168.3333,51.96,87,99,6.38,overcast clouds
21,Albany,US,42.6001,-73.9662,65.43,56,45,7.0,scattered clouds
22,Harper,LR,4.375,-7.7169,80.29,73,61,10.54,broken clouds
23,Mataura,NZ,-46.1927,168.8643,47.77,86,99,1.01,overcast clouds
24,Ancud,CL,-41.8697,-73.8203,55.15,65,43,5.01,scattered clouds
25,Longavi,CL,-35.9667,-71.6833,71.83,38,12,7.67,few clouds
26,Tokuyama,JP,34.05,131.8167,64.02,86,0,5.08,clear sky
27,Khatanga,RU,71.9667,102.5,33.13,98,100,18.41,overcast clouds
28,Kapaa,US,22.0752,-159.319,71.1,78,20,8.05,few clouds
29,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,11.5,scattered clouds
30,Hilo,US,19.7297,-155.09,81.28,100,100,6.91,moderate rain
31,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,16.11,light rain
32,Barrow,US,71.2906,-156.7887,3.22,85,0,8.05,clear sky
33,Mitu,CO,1.1983,-70.1733,89.11,53,82,3.69,broken clouds
